,ranking,school,district,rating,grade,student,ratio
539,541,Jotham W. Wakeman School - P.S. 6,Jersey City School District,B+,"PK, K-5",664,11 to 1
540,542,Walter F. Robinson School,Bayonne School District,B+,"PK, K-8",772,11 to 1
541,543,Kingwood Township School,FRENCHTOWN,B+,"PK, K-8",340,10 to 1
542,544,Kelly Elementary School,West Orange Public Schools,B+,K-5,455,9 to 1
543,545,Eldridge Park School,Lawrence Township Public School District,B+,"PK, K-3",228,13 to 1
544,546,Washington Elementary School,Lodi School District,B+,"PK, K-5",349,14 to 1
545,547,Dennis Township Primary School,Dennis Township School District,B+,"PK, K-2",268,9 to 1
546,-1,Roosevelt School,Lyndhurst School District,B+,5-Mar,445,19 to 1
547,548,Walter C. Black Elementary School,East Windsor Regional School District,B+,K-2,521,11 to 1
548,549,Patricia M. Noonan School Ps #26,Jersey City School District,B+,"PK, K-5",467,9 to 1
549,550,Pleasant Valley School,Harrison Township School District,B+,6-Apr,633,13 to 1
550,551,Bowne-Munro Elementary School,East Brunswick Public School District,B+,"PK, K-4",250,11 to 1
551,552,Franklin Township School,Franklin Township School District,B+,"PK, K-8",253,10 to 1
552,553,Bee Meadow School,Hanover Township School District,B+,K-5,322,10 to 1
553,554,Knowlton Township Board of Education,Knowlton Township Board Of Education School District,B+,"PK, K-6",155,7 to 1
554,555,Grace N. Rogers Elementary School,East Windsor Regional School District,B+,"PK, 3-5",611,10 to 1
555,556,Grandview Elementary School,Piscataway Township School District,B+,"PK, K-3",849,17 to 1
556,557,Arbor Intermediate School,Piscataway Township School District,B+,5-Apr,556,14 to 1
557,558,E. Roy Bixby School,Bogota Public School District,B+,"PK, K-6",288,9 to 1
558,559,Lincoln School,Nutley Public School District,B+,K-6,460,12 to 1
559,560,Hoboken Charter School,HOBOKEN,B+,K-12,298,11 to 1
560,561,Katherine D. Malone School,Rockaway Township School District,B+,K-5,270,9 to 1
561,562,Bartle Elementary School,Highland Park School District,B+,5-Feb,466,11 to 1
562,563,Clifton School No. 9,Clifton Public School District,B+,"PK, K-5",306,12 to 1
563,564,Wood-Ridge Intermediate School,Wood-Ridge School District,B+,6-Apr,250,13 to 1
564,565,Lloyd Road Elementary School,Matawan-Aberdeen Regional School District,B+,5-Mar,592,12 to 1
565,566,Springville Elementary School,Mount Laurel Township School District,B+,"PK, K-4",482,13 to 1
566,567,Round Valley School,Clinton Township School District,B+,5-Mar,397,9 to 1
567,568,Lincoln Franklin Elementary School,GARWOOD,B+,"PK, K-8",358,12 to 1
568,569,Slackwood Elementary School,Lawrence Township Public School District,B+,"PK, K-3",256,10 to 1
569,570,John A. Forrest School,Fair Lawn Public School District,B+,K-4,323,12 to 1
570,571,Foundation Academy Charter School,TRENTON,B+,K-12,1087,15 to 1
571,572,William P. Tatem Elementary School,Collingswood Public School District,B+,K-5,250,13 to 1
572,573,Adelphia Elementary School,Howell Township Public School District,B+,K-2,345,11 to 1
573,574,Swimming River Elementary School,Tinton Falls School District,B+,5-Mar,457,9 to 1
574,575,Hazelwood School,Middlesex Borough School District,B+,"PK, K-3",224,11 to 1
575,576,Laura Donovan Elementary School,Freehold Township School District,B+,K-5,429,11 to 1
576,577,Mawbey Street School,Woodbridge Township School District,B+,K-5,353,15 to 1
577,578,Ocean Road Elementary School,Point Pleasant Borough School District,B+,"PK, K-5",502,12 to 1
578,579,Thomas.B. Conley Elementary School,Bethlehem Township School District,B+,"PK, K-6",228,9 to 1
579,580,Hannah Caldwell Elementary School,Twp Of Union Board Of Education School District,B+,"PK, K-4",566,13 to 1
580,581,Brass Castle School,Washington Township School District,B+,"PK, K-6",264,9 to 1
581,582,Mary Bray School,Mount Ephraim School District,B+,"PK, K-5",293,11 to 1
582,583,Roosevelt Elementary School,South Plainfield School District,B+,"PK, K-4",438,12 to 1
583,584,Eleanor Rush Intermediate School,Cinnaminson Township Public Schools,B+,5-Mar,598,12 to 1
584,585,Byram Lakes Elementary School,Byram Township School District,B+,"PK, K-4",455,12 to 1
585,586,Forest Avenue School,Verona Public School District,B+,K-4,213,15 to 1
586,587,Raymond E. Voorhees Elementary School,Old Bridge Township School District,B+,K-5,397,11 to 1
587,588,Woodmere Elementary School,Eatontown Public School District,B+,"PK, 3-4",230,9 to 1
588,589,Parkway Elementary School,Mount Laurel Township School District,B+,"PK, K-4",361,12 to 1
589,590,Langtree Elementary School,Hamilton Township School District (Hamilton),B+,"PK, K-5",403,14 to 1
590,591,Clifton School No. 16,Clifton Public School District,B+,K-5,212,11 to 1
591,592,Bayview Elementary School,Middletown Township Public School District,B+,K-5,370,11 to 1
592,593,Washington School,Rutherford School District,B+,"PK, 1-3",314,11 to 1
593,594,Frank K. Hehnly Elementary School,Clark Township Public Schools,B+,K-5,551,14 to 1
594,595,Ethel McKnight Elementary School,East Windsor Regional School District,B+,K-2,555,12 to 1
595,596,High Bridge Elementary School,High Bridge School District,B+,"PK, K-4",194,6 to 1
596,597,Stony Brook School,Rockaway Township School District,B+,K-5,373,10 to 1
597,598,Lindeneau Elementary School,Edison Township School District,B+,K-5,449,12 to 1
598,599,C. Richard Applegate School,Freehold Township School District,B+,K-5,431,10 to 1
599,600,Frank W. Gavlak Elementary School,Wallington School District,B+,K-6,422,13 to 1
600,601,Menlo Park Terrace School,Woodbridge Township School District,B+,K-5,340,14 to 1
601,602,Pennsylvania Avenue School,Woodbridge Township School District,B+,K-5,326,13 to 1
602,603,Holly Glen Elementary School,Monroe Township School District (Williamstown),B+,"PK, K-4",445,9 to 1
603,604,Whittier Elementary School,Teaneck School District,B+,K-4,359,10 to 1
604,605,Elwood Kindle School,Pitman Boro School District,B,5-Jan,166,9 to 1
605,606,Beach Haven School,BEACH HAVEN,B,"PK, K-6",86,8 to 1
606,607,Patrick McGaheran School,Clinton Township School District,B,K-2,329,9 to 1
607,608,Hoover Elementary School,Bergenfield Borough School District,B,"PK, K-5",247,10 to 1
608,609,Parker School,Middlesex Borough School District,B,K-3,195,11 to 1
609,610,Mill Lake Elementary School,Monroe Township School District,B,"PK, K-3",518,12 to 1
610,611,Wayside Elementary School,Township of Ocean School District,B,"PK, K-4",567,9 to 1
611,612,Robert Gordon Elementary School,Roselle Park Board of Education,B,"PK, K-5",302,12 to 1
612,613,Elsinboro Township School,SALEM,B,K-8,112,8 to 1
