,ranking,school,district,rating,grade,student,ratio
1292,-1,Public School No. 5,West New York Board of Education,C minus,K-6,673,15 to 1
1293,-1,Peshine Avenue School,Newark Public School District,C minus,"PK, K-8",728,13 to 1
1294,-1,Millville Public Charter School,MILLVILLE,C minus,K-10,232,10 to 1
1295,-1,Washington Avenue Elementary School,Pleasantville Public School District,C minus,"PK, K-5",399,8 to 1
1296,-1,Elliott Street Elementary School,Newark Public School District,C minus,"PK, K-8",896,14 to 1
1297,-1,Dr. Henry H. Davis Elementary School,Camden City Public Schools,C minus,"PK, K-8",330,9 to 1
1298,-1,Dr. E. Alma Flagg School,Newark Public School District,C minus,"PK, K-8",464,14 to 1
1299,-1,Riverside Elementary School,Riverside Township School District,C minus,"PK, K-5",708,14 to 1
1300,-1,Lord Stirling Elementary School,New Brunswick Public Schools,C minus,"PK, K-5",509,11 to 1
1301,-1,Fairfield Township School,BRIDGETON,C minus,"PK, K-8",552,12 to 1
1302,-1,Oakwood Avenue School,Orange Board of Education School District,C minus,"PK, K-7",278,11 to 1
1303,-1,College Achieve Paterson Charter School,PATERSON,C minus,K-9,1012,16 to 1
1304,-1,Lafayette Elementary School,Bound Brook School District,C minus,2-Jan,288,10 to 1
1305,-1,Mario J. Drago School No. 3,Passaic City School District,C minus,"PK, K-8",811,11 to 1
1306,-1,Lindenwold School No. 5,Lindenwold Public School District,C minus,K-4,589,11 to 1
1307,-1,Florence Avenue School,Irvington Public Schools School District,C minus,K-5,633,16 to 1
1308,-1,Bradley Elementary School,Asbury Park School District,C minus,"PK, K-3",365,9 to 1
1309,-1,Gloria M. Sabater Elementary School,Vineland Public School District,C minus,K-5,806,13 to 1
1310,-1,Robert Menendez Elementary School,West New York Board of Education,C minus,K-6,574,13 to 1
1311,-1,Louise A. Spencer School,Newark Public School District,C minus,"PK, K-8",728,11 to 1
1312,-1,Dionne Warwick Institute of Economics & Entrepreneurship,East Orange School District,C minus,"PK, K-5",448,14 to 1
1313,-1,Prospect Park Elementary School,PROSPECT PARK,C minus,"PK, K-8",859,13 to 1
1314,-1,West Avenue School,Bridgeton City School District,C minus,K-8,686,12 to 1
1315,-1,Dr. Martin Luther King Middle School,Asbury Park School District,C minus,6-Apr,322,7 to 1
1316,-1,Thurgood G. Marshall Elementary School,Irvington Public Schools School District,C minus,"PK, K-5",398,11 to 1
1317,-1,Loudenslager Elementary School,Paulsboro School District,C minus,6-Mar,318,11 to 1
1318,-1,School No. 24,Paterson Public School District,C minus,"PK, K-8",824,13 to 1
1319,-1,George Washington Carver School,Newark Public School District,C minus,"PK, K-8",542,14 to 1
1320,-1,Octavio V. Catto Community Family School,Camden City Public Schools,C minus,"PK, K-8",622,12 to 1
1321,-1,Dr. Lena Edwards Academic Charter School,JERSEY CITY,C minus,K-8,391,14 to 1
1322,-1,Grove Street Elementary School,Irvington Public Schools School District,C minus,"PK, K-5",428,13 to 1
1323,-1,Dr. Hani Awadallah School,Paterson Public School District,C minus,"PK, K-8",671,13 to 1
1324,-1,South 17th Street School,Newark Public School District,C minus,"PK, K-8",451,13 to 1
1325,-1,Dr. William H. Horton School,Newark Public School District,C minus,"PK, K-8",779,14 to 1
1326,-1,Ecole T. Loverture School,East Orange School District,C minus,"PK, K-5",314,15 to 1
1327,-1,Edward T. Bowser Senior School of Excellence,East Orange School District,C minus,"PK, K-5",622,14 to 1
1328,-1,Number Three School,Fairview Public School District,C minus,K-4,706,25 to 1
1329,-1,School No. 5,Passaic City School District,C minus,K-8,410,10 to 1
1330,-1,Daniel F. Ryan Elementary School No. 19,Passaic City School District,C minus,8-Jan,811,12 to 1
1331,-1,School No. 25,Paterson Public School District,C minus,"PK, K-8",646,15 to 1
1332,-1,Rafael Hernandez School,Newark Public School District,C minus,"PK, K-8",772,15 to 1
1333,-1,Roosevelt Elementary School,New Brunswick Public Schools,C minus,K-5,734,12 to 1
1334,-1,Gordon Parks Academy,East Orange School District,C minus,"PK, K-2",292,12 to 1
1335,-1,Roberto Clemente School,Paterson Public School District,C minus,K-5,332,17 to 1
1336,-1,Berkeley Terrace Elementary School,Irvington Public Schools School District,C minus,"PK, K-5",387,10 to 1
1337,-1,Dr. Ulysses Simpson Wiggins College Preparatory Lab Family School,Camden City Public Schools,C minus,"PK, K-8",421,13 to 1
1338,-1,Thurgood Marshall Elementary School,Asbury Park School District,C minus,"PK, K-3",335,9 to 1
1339,-1,Atlantic Community Charter School,GALLOWAY,C minus,K-8,354,10 to 1
1340,-1,Lindenwold School No. 4,Lindenwold Public School District,C minus,K-4,647,12 to 1
1341,-1,W.R. James Sr. Elementary School,Willingboro Public School District,C minus,4-Jan,362,12 to 1
1342,-1,Madison Avenue School,Irvington Public Schools School District,C minus,"PK, K-5",402,13 to 1
1343,-1,Lincoln Elementary School,Newark Public School District,C minus,"PK, K-8",414,14 to 1
1344,-1,Mount Vernon Avenue Elementary School,Irvington Public Schools School District,C minus,K-5,507,15 to 1
1345,-1,Cherry Street Elementary School,Bridgeton City School District,C minus,K-8,566,12 to 1
1346,-1,Henry Braid Wilson Elementary School,Camden City Public Schools,C minus,"PK, K-8",524,12 to 1
1347,-1,Lincoln Elementary School,New Brunswick Public Schools,C minus,K-4,544,11 to 1
1348,-1,Thomas Jefferson School No. 1,Passaic City School District,C minus,K-8,466,11 to 1
1349,-1,Quarter Mile Lane School,Bridgeton City School District,C minus,"PK, K-8",749,12 to 1
1350,-1,Cooper's Poynt School,Camden City Public Schools,C minus,"PK, K-8",436,11 to 1
1351,-1,Mildred B. Garvin Microsociety School,East Orange School District,C minus,"PK, 3-5",354,14 to 1
1352,-1,Thomas H. Dudley Family School,Camden City Public Schools,C minus,"PK, K-8",485,11 to 1
1353,-1,Yorkship Elementary School,Camden City Public Schools,C minus,"PK, K-8",429,13 to 1
1354,-1,School No. 2,Paterson Public School District,C minus,K-8,486,11 to 1
1355,-1,Livingston Elementary School,New Brunswick Public Schools,C minus,K-5,402,11 to 1
1356,-1,Cleveland Elementary School,Newark Public School District,C minus,"PK, K-8",435,11 to 1
1357,-1,Young Mens Academy,Paterson Public School District,C minus,8-Mar,73,9 to 1
1358,-1,School No. 18,Paterson Public School District,C minus,8-Jan,783,13 to 1
1359,-1,A. Chester Redshaw Elementary School,New Brunswick Public Schools,C minus,"PK, K-5",929,13 to 1
1360,-1,Cramer College Preparatory Lab School,Camden City Public Schools,C minus,"PK, K-6",439,11 to 1
1361,-1,Forest Hill Elementary School,Camden City Public Schools,C minus,K-5,328,11 to 1
1362,-1,Emerson Community School,Plainfield Public Schools,C minus,"PK, K-5",493,14 to 1
1363,-1,School No. 20,Paterson Public School District,C minus,K-8,458,13 to 1
1364,-1,College Achieve Greater Asbury Park Charter School,NEPTUNE,C minus,K-9,362,11 to 1
1365,-1,Frederic W. Cook School,Plainfield Public Schools,C minus,K-5,395,12 to 1
1366,-1,Indian Avenue School,Bridgeton City School District,C minus,K-8,658,12 to 1
1367,-1,Harry C. Sharp Elementary School,Camden City Public Schools,C minus,"PK, K-8",353,10 to 1
1368,-1,School No. 26,Paterson Public School District,C minus,"PK, K-8",539,15 to 1
1369,-1,Casimir Pulaski School No. 8,Passaic City School District,C minus,"PK, K-8",591,12 to 1
1370,-1,New Horizons Community Charter School,NEWARK,C minus,K-8,450,13 to 1
1371,-1,University Elementary School,Irvington Public Schools School District,C minus,"PK, K-5",403,13 to 1
1372,-1,Buckshutem Road School,Bridgeton City School District,C minus,K-8,670,14 to 1
1373,-1,William B. Cruise Memorial School No. 11,Passaic City School District,C minus,K-8,1003,14 to 1
1374,-1,Dr. Martin Luther King Jr. Educational Complex,Paterson Public School District,C minus,"PK, K-8",647,11 to 1
1375,-1,Chancellor Avenue School,Irvington Public Schools School District,C minus,K-5,489,17 to 1
1376,-1,School No. 12,Paterson Public School District,C minus,K-8,537,15 to 1
1377,-1,Mott Elementary School,Trenton Public School District,C minus,K-5,477,15 to 1
1378,-1,Veterans Memorial Family School,Camden City Public Schools,C minus,"PK, K-8",369,11 to 1
1379,-1,Edward W. Kilpatrick School of Discovery,Paterson Public School District,C minus,"PK, K-3",367,12 to 1
1380,-1,School No. 13,Paterson Public School District,C minus,K-8,536,15 to 1
1381,-1,Rev. Dr. Frank Napier Jr. School,Paterson Public School District,C minus,8-Jan,472,12 to 1
1382,-1,Columbus Elementary School,Trenton Public School District,C minus,K-5,412,15 to 1
1383,-1,Martin Luther King School No. 6,Passaic City School District,C minus,"PK, K-8",1025,12 to 1
1384,-1,Broad Street School,Bridgeton City School District,C minus,K-8,904,11 to 1
1385,-1,University Heights Charter School,NEWARK,C minus,"PK, K-8",858,15 to 1
1386,-1,Etta Gero School No. 9,Passaic City School District,C minus,K-8,813,13 to 1
1387,-1,School No. 3,Paterson Public School District,C minus,K-8,375,13 to 1
1388,-1,Theodore Roosevelt School No. 10,Passaic City School District,C minus,"PK, K-8",724,13 to 1
1389,-1,School No. 10,Paterson Public School District,C minus,K-8,579,16 to 1
1390,-1,Marion P. Thomas Charter School,NEWARK,D+,"PK, K-12",1481,17 to 1
1391,-1,School No. 8,Paterson Public School District,D+,K-8,468,12 to 1
1392,-1,Senator Frank Lautenberg School,Paterson Public School District,D+,K-8,665,16 to 1
1393,-1,Franklin Elementary School,Trenton Public School District,D+,K-5,420,15 to 1
1394,-1,Cedarbrook K-8 Center,Plainfield Public Schools,D+,K-8,684,14 to 1
1395,-1,School 16,Paterson Public School District,D+,"PK, K-8",869,16 to 1
1396,-1,School No. 15,Paterson Public School District,D+,"PK, K-5",602,13 to 1
1397,-1,Washington Elementary School,Trenton Public School District,D+,K-5,398,17 to 1
1398,-1,Parker Elementary School,Trenton Public School District,D+,K-5,526,13 to 1
1399,-1,Clinton School,Plainfield Public Schools,D+,"PK, K-5",383,11 to 1
1400,-1,Grant Elementary School,Trenton Public School District,D+,"PK, K-5",654,14 to 1
1401,-1,School No. 21,Paterson Public School District,D+,"PK, K-8",739,14 to 1
1402,-1,Evergreen Elementary School,Plainfield Public Schools,D+,K-5,608,15 to 1
1403,-1,Dewitt D. Barlow Elementary School,Plainfield Public Schools,D+,K-5,381,16 to 1
1404,-1,Washington Community School,Plainfield Public Schools,D+,"PK, K-5",633,14 to 1
1405,-1,Joyce Kilmer Elementary School,Trenton Public School District,D+,K-8,681,13 to 1
1406,-1,P.J. Hill Elementary School,Trenton Public School District,D+,"PK, K-5",810,15 to 1
1407,-1,Wilson Elementary School,Trenton Public School District,D+,"PK, K-5",575,14 to 1
1408,-1,Robbins Elementary School,Trenton Public School District,D+,K-5,558,15 to 1
1409,-1,Gregory Elementary School,Trenton Public School District,D,K-5,522,15 to 1
1410,-1,Martin Luther King Jr. Elementary School,Trenton Public School District,D,K-5,836,14 to 1
1411,-1,Harrison Elementary School,Trenton Public School District,D,K-5,238,13 to 1
1412,-1,Jefferson Elementary School,Plainfield Public Schools,D,"PK, K-5",456,13 to 1
1413,-1,Charles H. Stillman Elementary School,Plainfield Public Schools,D,K-5,367,14 to 1
1414,-1,School No. 11 - Newcomers,Paterson Public School District,D minus,10-Mar,191,64 to 1
1415,-1,Nishuane School,Montclair Public Schools,A,"PK, K-2",462,11 to 1
1416,-1,Woodland School,Morris School District,A,K-2,287,10 to 1
1417,-1,Alfred Vail School,Morris School District,A,K-2,321,11 to 1
1418,-1,Primary Center at Jefferson,Summit Public School District,A,"PK, K",127,12 to 1
1419,-1,Mary Kay McMillin Early Childhood Center,Berkeley Heights Public School District,A,"PK, K-1",304,14 to 1
1420,-1,Hillcrest School,Morris School District,A,"PK, K-2",290,11 to 1
1421,-1,Robert D. Reynolds Primary School,Upper Saddle River School District,A,"PK, K-2",347,10 to 1
1422,-1,Edison Early Learning Center,Edison Township School District,A,"PK, K",101,25 to 1
1423,-1,Franklin D. Roosevelt School,Edison Township School District,A,"PK, K",159,12 to 1
1424,-1,James Madison Primary School,Edison Township School District,A,K-2,526,13 to 1
1425,-1,Bergen Boulevard School,Ridgefield School District,A,K-4,231,9 to 1
1426,-1,Forest Avenue School,Glen Ridge Public School District,A minus,"PK, K-2",176,13 to 1
1427,-1,Lincoln School - Early Childhood Learning Center,Westfield Public School District,A minus,"PK, K",284,18 to 1
1428,-1,Little Falls School No. 2,Little Falls Township Public Schools,A minus,"PK, K-2",323,12 to 1
1429,-1,Edward V. Walton School,Springfield Public School District,A minus,"PK, K-2",563,16 to 1
1430,-1,The Summit Primary Center at Wilson,Summit Public School District,A minus,"PK, K",154,11 to 1
1431,-1,Shaler Academy,Ridgefield School District,A minus,"PK, K-4",186,9 to 1
1432,-1,County Road School,Demarest School District,A minus,"PK, K-1",168,10 to 1
1433,-1,Harrison School,Caldwell-West Caldwell School District,A minus,"PK, K",20,
1434,-1,Edith M. Decker School,Mount Arlington Public School District,A minus,"PK, K-2",124,9 to 1
1435,-1,William Cullen Bryant School,Teaneck School District,A minus,"PK, K",322,13 to 1
1436,-1,Walnut Avenue School,Cranford Public School District,A minus,"PK, K-2",280,13 to 1
1437,-1,Howard R. Yocum School,Maple Shade School District,A minus,K-2,593,11 to 1
1438,-1,Briarwood Elementary School,Florham Park Public Schools,A minus,"PK, K-2",324,11 to 1
1439,-1,Irving Primary School,Highland Park School District,A minus,"PK, K-1",298,10 to 1
1440,-1,Linden Avenue Elementary School,Glen Ridge Public School District,A minus,"PK, K-2",166,10 to 1
1441,-1,Daniel Webster School,Weehawken Public School District,A minus,"PK, K-2",422,12 to 1
1442,-1,Middle Township Elementary No. 1,Middle Township Public School District,A minus,"PK, K-2",670,11 to 1
1443,-1,Marshall Elementary School,South Orange-Maplewood School District,A minus,"PK, K-2",518,13 to 1
1444,-1,Joseph C. Shaner School,Hamilton Township School District,,"PK, K-1",690,14 to 1
1445,-1,Barclay Brook Elementary School,Monroe Township School District,A minus,"PK, K-2",307,11 to 1
1446,-1,Oakview Elementary School,West Deptford Township School District,A minus,"PK, K-1",442,15 to 1
1447,-1,Bloomingdale Avenue School,Cranford Public School District,A minus,K-2,227,15 to 1
1448,-1,Memorial Elementary School,Emerson Public School District,A minus,"PK, K-3",285,12 to 1
1449,-1,Mildred B. Moss Elementary School,Metuchen Public School District,A minus,"PK, K",122,14 to 1
1450,-1,Godwin Elementary School,Midland Park School District,A minus,"PK, K-2",254,11 to 1
1451,-1,Mountain Way Elementary School,Morris Plains School District,A minus,"PK, K-2",193,10 to 1
1452,-1,Millbridge Elementary School,Delran Township School District,A minus,"PK, K-2",665,12 to 1
1453,-1,Kiel School,Kinnelon School District,B+,"PK, K-2",278,11 to 1
1454,-1,C.R. Smith Early Childhood Center,Palisades Park School District,B+,"PK, K",196,9 to 1
1455,-1,Hammonton Early Childhood Education Center,Hammonton School District,B+,"PK, K-1",369,13 to 1
1456,-1,Center Square School,Logan Township School District,B+,"PK, K-1",241,10 to 1
1457,-1,Orchard Hill Elementary School,Montgomery Township School District,B+,"PK, K-2",810,11 to 1
1458,-1,John Hydock Elementary School,Mansfield Township School District (Columbus),,"PK, K-2",229,9 to 1
1459,-1,Red Bank Elementary School,West Deptford Township School District,B+,"PK, 2",266,15 to 1
1460,-1,Barclay Early Childhood Center,Cherry Hill Township School District,B+,"PK, K",210,12 to 1
1461,-1,Samuel Smith School,Burlington City Public School District,B+,"PK, K-2",305,10 to 1
1462,-1,David C. Abbott Early Learning Center,Marlboro Township School District,B+,"PK, K",197,9 to 1
1463,-1,Capt. James Lawrence Elementary School,Burlington City Public School District,B+,"PK, K-2",256,11 to 1
1464,-1,Sycamore Drive Early Childhood Learning Center,Hazlet Township Public School District,B+,"PK, K",300,12 to 1
1465,-1,New Albany Elementary School,Cinnaminson Township Public Schools,B+,"PK, K-2",574,15 to 1
1466,-1,William Roper Early Childhood Learning Center,Woodstown-Pilesgrove Regional School District,B+,"PK, K",135,12 to 1
1467,-1,Central Elementary School,Great Meadows Regional School District,B+,"PK, K-3",290,12 to 1
1468,-1,Early Childhood Learning Center,Phillipsburg School District,B+,"PK, K-1",450,11 to 1
1469,-1,Frank J. Smith School,East Hanover Township School District,B+,K-2,303,11 to 1
1470,-1,Jeffrey Clark School,East Greenwich Township School District,,"PK, K-2",594,14 to 1
1471,-1,Charles Olbon School,Woodland Park School District,B+,"PK, K-2",406,13 to 1
1472,-1,Lenna W. Conrow Elementary School,Long Branch Public School District,B+,"PK, K",357,13 to 1
1473,-1,B. Bernice Young Elementary School,Burlington Township Board of Education,B+,"PK, K-2",796,11 to 1
1474,-1,Philipsburg Primary School,Phillipsburg School District,B+,K-2,377,10 to 1
1475,-1,Gov. Charles C. Stratton School,Swedesboro-Woolwich School District,B+,2-Jan,419,12 to 1
1476,-1,Grenloch Terrace Early Childhood Center,Washington Township School District,B+,"PK, K",325,13 to 1
1477,-1,Conover Road Primary School,Colts Neck Township School District,B+,"PK, K-2",379,9 to 1
1478,-1,Gillette School,Long Hill Township School District,,"PK, K-1",169,11 to 1
1479,-1,George Washington School,Edgewater School District,,"PK, K-2",541,23 to 1
1480,-1,Taylor Street Elementary School,Washington Borough School District,,"PK, K-1",226,10 to 1
1481,-1,Margaret C. Clifford School,Swedesboro-Woolwich School District,B,"PK, K",235,11 to 1
1482,-1,John Brainerd Elementary School,Mount Holly Township Public School District,,"PK, K-1",298,11 to 1
1483,-1,Beechwood School,Mountainside School District,B,"PK, K-2",256,12 to 1
1484,-1,Atco Elementary School,Waterford Township School District,B,3-Jan,204,9 to 1
1485,-1,Pine Acres Early Childhood Center,Deptford Township Public School District,B,"PK, K-1",254,13 to 1
1486,-1,Ronald L. Meinders Primary Learning Center,Stafford Township School District,,K,305,15 to 1
1487,-1,North Cliff School,Englewood Cliffs School District,B,"PK, K-2",139,13 to 1
1488,-1,Southampton Township School No. 1,Southampton Township School District,,"PK, K-2",220,11 to 1
1489,-1,Upper Township Primary School,Upper Township School District,B,"PK, K-2",501,13 to 1
1490,-1,John Fenwick Elementary School,Salem City School District,B,"PK, K-2",422,14 to 1
1491,-1,Dickerson School,Chester School District,B,"PK, K-2",332,11 to 1
1492,-1,Joseph M. Ferraina Early Childhood Learning Center,Long Branch Public School District,B,"PK, K",294,12 to 1
1493,-1,Ocean Acres Elementary School,Stafford Township School District,B,2-Jan,528,13 to 1
1494,-1,G. Austin Schoenly School,Spotswood Public School District,B,"PK, K-1",229,13 to 1
1495,-1,John I. Dawes Early Learning Center,Manalapan-Englishtown Regional Schools,B,"PK, K",365,10 to 1
1496,-1,Martha B. Day School,Bloomingdale School District,,"PK, K-1",142,12 to 1
1497,-1,Lakewood Early Childhood Center,Lakewood School District,B,"PK, K",258,5 to 1
1498,-1,Elmer Elementary School,Pittsgrove Township School District,B,K-1,219,20 to 1
1499,-1,Donald A. Quarles Early Childhood Center,Englewood Public School District,B,"PK, K",452,12 to 1
1500,-1,Wahlstrom Early Childhood Academy,East Orange School District,B,"PK, K",149,11 to 1
1501,-1,Billingsport Elementary School,Paulsboro School District,B,"PK, K-2",362,12 to 1
1502,-1,Carl T. Mitnick School,Lower Township Elementary School District,B,"PK, 1-2",452,10 to 1
1503,-1,Central Early Childhood Center,Deptford Township Public School District,B,"PK, K-1",591,15 to 1
1504,-1,Ellen T. Briggs Elementary School,Jefferson Township Public Schools,B,K-2,257,13 to 1
1505,-1,Haviland Avenue School,Audubon Public School Disrict,B,"PK, K-2",278,12 to 1
1506,-1,Morris Avenue Elementry School,Long Branch Public School District,B,"PK, K",288,11 to 1
1507,-1,David C. Douglass Veterans Memorial School,Lower Township Elementary School District,B,"PK, K",312,9 to 1
1508,-1,Althea Gibson Academy,East Orange School District,B,"PK, K",125,10 to 1
1509,-1,Valley Park Elementary School,Pennsville Public School District,B,"PK, K-1",364,12 to 1
1510,-1,Eugenio Maria De Hostos Center for Early Childhood Education,Union City School District,B,"PK, K",292,8 to 1
1511,-1,Ethel A. Jacobsen Elementary School,Long Beach Island Consolidated School District,B,"PK, K-2",108,8 to 1
1512,-1,Piner Elementary School,Lakewood School District,B,"PK, K-2",489,9 to 1
1513,-1,J. Harvey Rodgers School,Glassboro School District,B,"PK, K",246,12 to 1
1514,-1,Mountain Villa School,Allamuchy Township School District,,"PK, K-2",143,12 to 1
1515,-1,Vincent Capuana School No. 15,Passaic City School District,B minus,"PK, K",274,11 to 1
1516,-1,Nokomis Elementary School,Medford Lakes School District,B minus,"PK, K-2",148,10 to 1
1517,-1,South River Primary School,South River Public School District,B minus,"PK, K-1",423,11 to 1
1518,-1,Millstone Township Primary School,Millstone Township School District,B minus,"PK, K-2",311,13 to 1
1519,-1,Calvin Coolidge Elementary School,Hillside Board of Education,B minus,6-Feb,232,12 to 1
1520,-1,C.E. Lawrence School,Sussex-Wantage Regional School District,B minus,"PK, K-2",376,12 to 1
1521,-1,Cozy Lake Elementary School,Jefferson Township Public Schools,B minus,2-Jan,164,11 to 1
1522,-1,Memorial School,Totowa Public School District,B minus,"PK, K-2",338,14 to 1
1523,-1,Mary F. Janvier School,Township of Franklin School District,,"PK, K-2",610,14 to 1
1524,-1,Milton Elementary School,Jefferson Township Public Schools,B minus,"PK, K",171,13 to 1
1525,-1,Lincoln School Annex,Fairview Public School District,B minus,"PK, K",245,20 to 1
1526,-1,Kindergarten Success Academy,Roselle Public Schools,B minus,K,184,11 to 1
1527,-1,Lafayette-Pershing School,Penns Grove-Carneys Point Regional School District,B minus,"PK, K",326,15 to 1
1528,-1,A.P. Morris Early Childhood Center,Hillside Board of Education,B minus,"PK, K-1",661,11 to 1
1529,-1,Ulysses S. Grant School No. 7,Passaic City School District,C+,"PK, K",254,10 to 1
1530,-1,Dale Avenue School,Paterson Public School District,C+,"PK, K-2",343,11 to 1
1531,-1,Lamonte-Annex Elementary School,Bound Brook School District,C+,"PK, K",396,15 to 1
1532,-1,Rose M. Lopez Elementary School,Perth Amboy Public School District,,K-3,812,16 to 1
1533,-1,Slocum Skewes School,Ridgefield School District,,9-Feb,772,11 to 1
1534,-1,Sonia Sotomayor School #21,Passaic City School District,,K-8,732,13 to 1
1535,-1,Endeavour Elementary School,North Hanover Township School District,,"PK, K-4",607,10 to 1
1536,-1,J.C. Stuart Early Childhood Development Center,Willingboro Public School District,,"PK, K",576,20 to 1
1537,-1,Bankbridge Regional School,SEWELL,,"PK, K-12",563,6 to 1
1538,-1,Brigantine Community School,BRIGANTINE,,"PK, K-8",521,8 to 1
1539,-1,Cresthaven Academy Charter School,PLAINFIELD,,K-4,389,11 to 1
1540,-1,Vineland Public Charter School,VINELAND,,"PK, K-11",384,15 to 1
1541,-1,Philip's Academy Charter School of Paterson,PATERSON,,K-4,367,12 to 1
1542,-1,Central Elementary School,Orange Board of Education School District,,K-3,320,13 to 1
1543,-1,East Ward Elementary School,Newark Public School District,,"PK, K-3",286,10 to 1
1544,-1,Middlesex County STEM Charter School,PERTH AMBOY,,K-5,268,16 to 1
1545,-1,Maywood Campus,MAYWOOD,,"PK, K-6",215,7 to 1
1546,-1,Ashbrook Elementary School,Lumberton Township Board of Education,,"PK, K-2",212,10 to 1
1547,-1,BCSS - Autism Programs,PARAMUS,,"PK, K-12",201,4 to 1
1548,-1,Mercer Elementary School,HAMILTON,,K-8,199,6 to 1
1549,-1,Atlantic County Elementary/Middle School,MAYS LANDING,,"PK, K-8",196,8 to 1
1550,-1,Center for Lifelong Learning,PARLIN,,"PK, K-12",191,6 to 1
1551,-1,John F. Kennedy School,Newark Public School District,,"PK, K-12",149,7 to 1
1552,-1,Program 1 - Hearing Impaired,PARAMUS,,"PK, K-12",136,6 to 1
1553,-1,Program 3 - Emotionally Disturbed,PARAMUS,,"PK, K-12",130,6 to 1
1554,-1,Ocean Academy,CAPE MAY COURT HOUSE,,"PK, K-8",128,5 to 1
1555,-1,Bright Beginnings Learning Center,PISCATAWAY,,"PK, K-4",127,3 to 1
1556,-1,Academy Learning Center,MONROE TOWNSHIP,,"PK, K-12",125,6 to 1
1557,-1,NJ Regional Day School - Newark,Newark Public School District,,K-12,121,6 to 1
1558,-1,Cumberland Campus,BRIDGETON,,"PK, K-12",118,5 to 1
1559,-1,Piscataway Regional Day School,PISCATAWAY,,"PK, K-12",107,7 to 1
1560,-1,Joseph F. Cappello School,HAMILTON,,"PK, K-2",98,7 to 1
1561,-1,Central School,Glen Ridge Public School District,,"PK, K-2",93,31 to 1
1562,-1,Riletta Twyne Cream Family School,Camden City Public Schools,,"PK, K",85,5 to 1
1563,-1,N.A. Bleshman Regional Day School,PARAMUS,,"PK, K-12",82,8 to 1
1564,-1,Regional Day School,Jersey City School District,,"PK, K-12",73,12 to 1
1565,-1,Lake Drive Program for Hearing Impared,Mountain Lakes School District,,"PK, K-8",70,4 to 1
1566,-1,Manchester Regional Day School,Manchester Township School District,,"PK, K-12",61,5 to 1
1567,-1,Program 5 - Life Skills Continuum,PARAMUS,,"PK, K-12",61,6 to 1
1568,-1,Bruce Street School for the Deaf,Newark Public School District,,"PK, K-8",60,5 to 1
1569,-1,Developmental Learning Center - New Providence,NEW PROVIDENCE,,K-6,56,4 to 1
1570,-1,Program 2 - Multiply Handicapped,PARAMUS,,"PK, K-12",55,8 to 1
1571,-1,Moonachie Annex School,MOONACHIE,,"PK, K-8",53,13 to 1
1572,-1,Developmental Learning Center,TINTON FALLS,,"PK, K-12",52,3 to 1
1573,-1,Crossroads School,WESTFIELD,,"PK, K-8",42,4 to 1
1574,-1,Northern Hills Academy,SPARTA,,"PK, K-12",40,5 to 1
1575,-1,Somerset Elementary Academy,BRIDGEWATER,,K-8,39,6 to 1
1576,-1,Salem Campus,WOODSTOWN,,K-12,36,3 to 1
1577,-1,Spruce Run School,Clinton Township School District,,"PK, K-8",35,5 to 1
1578,-1,Daretown School,ELMER,,"PK, K-12",29,3 to 1
1579,-1,Cherry Hill Regional School,CHERRY HILL,,12-Jan,28,2 to 1
1580,-1,Marie H. Katzenbach Elementary/Middle School for the Deaf,TRENTON,,"PK, K-8",25,
1581,-1,Essex Junior Academy,CEDAR GROVE,,K-8,24,12 to 1
1582,-1,Bergen Regional School,PARAMUS,,12-Feb,22,
1583,-1,Ocean Regional School,TOMS RIVER,,11-Feb,22,1 to 1
1584,-1,NuView Academy,PISCATAWAY,,K-12,21,4 to 1
1585,-1,Regional Day School,MORRISTOWN,,"PK, K-12",17,2 to 1
1586,-1,Union Regional School,SCOTCH PLAINS,,12-Feb,14,
1587,-1,Passaic Regional School,TOTOWA,,4,13,
