,common,A+,A,A minus,school_x,10,9,8,school_y
328,South Plainfield,0,0,2,4,0,1,1,5
329,South River,0,0,0,2,0,0,0,1
330,Southampton Township,0,0,0,2,0,0,0,1
331,Sparta Township,0,1,1,3,0,1,0,2
332,Spotswood,0,0,0,2,0,0,0,1
333,Spring Lake Borough,0,1,0,1,0,1,0,1
334,Spring Lake Heights,0,1,0,1,0,0,1,1
335,Springfield,0,1,1,3,0,0,2,2
336,Springfield Township,0,0,1,1,0,0,1,1
337,Stafford Township,0,0,0,3,0,0,0,2
338,Stanhope,0,0,0,1,0,0,0,1
339,Stillwater Township,0,0,1,1,0,0,1,1
340,Stone Harbor Elementary,0,0,1,1,1,0,0,1
341,Stratford,0,0,0,1,0,0,0,2
342,Summit,3,2,0,7,3,2,0,5
343,Sussex-Wantage Regional,0,0,0,2,0,0,0,1
344,Swedesboro-Woolwich,0,0,0,3,0,0,0,2
345,Teaneck,0,1,0,5,0,0,0,5
346,Tenafly,3,1,0,4,1,3,0,4
347,Tewksbury Township,0,0,1,1,0,1,0,1
348,The School District Of The Chathams,0,4,0,4,2,2,0,4
349,Tinton Falls,0,0,0,3,0,0,0,1
350,Toms River Regional,0,0,0,12,0,0,0,12
351,Totowa,0,0,0,3,0,0,0,1
352,Township Of Ocean,0,0,1,3,0,1,0,4
353,Trenton,0,0,0,18,0,0,0,13
354,Twp Of Union,0,0,1,7,0,0,2,7
355,Union Beach,0,0,0,1,0,0,0,1
356,Union City,0,0,1,10,1,0,0,9
357,Union Township,0,0,0,1,0,0,2,2
358,Upper Deerfield Township,0,0,0,2,0,0,0,2
359,Upper Freehold Regional,0,0,1,1,0,0,0,2
360,Upper Pittsgrove Twp,0,0,0,1,0,0,1,1
361,Upper Saddle River,1,0,0,2,1,0,0,1
362,Upper Township,0,0,1,2,0,1,0,1
363,Ventnor City,0,0,0,1,0,0,0,2
364,Vernon Township,0,0,0,3,0,0,0,2
365,Verona,0,2,0,4,0,1,1,5
366,Vineland,0,0,0,10,1,0,0,9
367,Voorhees Township,0,2,2,4,1,0,3,4
368,Waldwick,0,0,2,2,0,0,2,2
369,Wall Township,0,0,3,4,0,0,3,4
370,Wanaque,0,0,1,2,0,0,1,2
371,Warren Township,0,4,0,4,0,4,0,4
372,Washington Borough,0,0,0,2,0,0,0,1
373,Washington Township,0,0,1,11,0,0,2,11
374,Watchung Borough,0,1,0,1,0,2,0,2
375,Waterford Township,0,0,0,3,0,0,0,2
376,Wayne Township,0,1,2,9,1,0,1,9
377,Weehawken,0,0,0,2,0,0,0,1
378,Wenonah Boro,0,0,0,1,0,0,0,1
379,West Cape May Elementary,0,0,0,1,0,0,0,1
380,West Deptford Township,0,0,0,3,0,0,0,2
381,West Long Branch,0,0,0,1,0,0,2,2
382,West Milford Township,0,0,0,6,0,0,0,6
383,West Orange,0,1,3,7,0,2,2,8
384,West Windsor-Plainsboro Regional,2,4,0,6,0,4,1,5
385,Westampton Township,0,0,0,1,0,0,0,2
386,Westfield,2,4,0,8,2,1,3,6
387,Westwood Regional,0,3,1,4,0,3,1,4
388,Wharton Borough,0,0,0,1,0,0,0,1
389,Wildwood City,0,0,0,1,0,0,0,1
390,Willingboro,0,0,0,5,0,0,0,4
391,Winslow Township,0,0,0,6,0,0,0,6
392,Wood-Ridge,0,0,1,2,0,1,0,2
393,Woodbine,0,0,0,1,0,0,0,1
394,Woodbridge Township,0,0,2,17,0,1,0,16
395,Woodbury City,0,0,0,3,0,0,0,3
396,Woodcliff Lake,0,1,0,1,0,1,0,1
397,Woodland Park,0,0,0,2,0,0,0,2
398,Woodstown-Pilesgrove Regional,0,0,0,2,0,0,0,1
399,Wyckoff Township,0,1,2,4,0,1,3,4
